username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
arizquiel;2013-07-28 08:50;17;1;"Feliz cumpleaños @chavezcandanga seguiremos construyendo patria libre y soberana. #ChávezVive @ForoCandanga pic.twitter.com/ZLSdEUuZ78 "";;@chavezcandanga @ForoCandanga;#Ch;"361476200905973761";https://twitter.com/arizquiel/status/361476200905973761
CarlosLugoSoto;2013-07-28 08:48;15;1;"Feliz cumpleaños Venezuela porque tal día como hoy pariste al GIGANTE CHAVEZ ! #ChávezVive #LaluchaSigue";;;#Ch #LaluchaSigue;"361475704803696640";https://twitter.com/CarlosLugoSoto/status/361475704803696640
Kombatiente1;2013-07-28 08:47;0;0;"Que mejor muestra de q estas vivo Comandante si te recordamos a cada instante. Las ideas no mueren! #ChavezVive";;;#ChavezVive;"361475505008033792";https://twitter.com/Kombatiente1/status/361475505008033792
CdCasarapaUBCH;2013-07-28 08:42;2;0;"Gloria al comandante eterno!. Hoy celebramos el nacimiento del hombre que le devolvio la dignidad a los pueblos Latinoamericanos. #ChavezVive";;;#ChavezVive;"361474345245212672";https://twitter.com/CdCasarapaUBCH/status/361474345245212672
Vnzlaespiritual;2013-07-28 08:39;0;0;"Amado comandante , #ChavezVive tu presencia fresca,alegre, y revolucionaria nos da fuerza";;;#ChavezVive;"361473470091104256";https://twitter.com/Vnzlaespiritual/status/361473470091104256
AlbisBenitez Maby80;2013-07-28 08:37;1;0;"@maby80 Fuist bendecida al tener un Padre Ejemplar como el, Es y Seguirá Siendo el Gran Amor de está Patria, LO AMAMOS #CHÁVEZVIVE";;@maby80;#CH;"361473017177575427";https://twitter.com/AlbisBenitez/status/361473017177575427
dpiloncita ABDULLAHMOSQUE;2013-07-28 08:36;4;1;"@ABDULLAHMOSQUE @RominaBiondo3 Buen día compatriotas de la PATRIA GRANDE, nuestramericana, celebrando que #CHAVEZVIVE la lucha sigue!";;@ABDULLAHMOSQUE @RominaBiondo3;#CHAVEZVIVE;"361472659105644544";https://twitter.com/dpiloncita/status/361472659105644544
NelsonRamirez_;2013-07-28 08:27;0;0;"Hoy se Conmemora el Natalicio del Padre de nuestra Patria Comandante Presidente Hugo Rafael Chávez Frías #ChávezVive #LaLuchaSigue";;;#Ch #LaLuchaSigue;"361470576956669954";https://twitter.com/NelsonRamirez_/status/361470576956669954
lisboa_claudio;2013-07-28 08:27;0;0;"#ChavezVive Saudações ao Comandante e Forças irmãos venezuelanos !!!";;;#ChavezVive;"361470575979409408";https://twitter.com/lisboa_claudio/status/361470575979409408
EjafJohana;2013-07-28 08:25;1;0;"#ElPuebloCelebraTus59AñosChavez #ChavezViveEnElPueblo #ChávezVive Felicidades Querido presidente Como te extrañamos papito";;;#ElPuebloCelebraTus59A #ChavezViveEnElPueblo #Ch;"361469882954551296";https://twitter.com/EjafJohana/status/361469882954551296
psuvfalcon;2013-07-28 08:22;5;0;"Nuestro comandante esta en el corazón de su pueblo que defiende su legado #ChávezVive @antoniosivira (Audio) http:// goo.gl/ZhpIrm";;@antoniosivira;#Ch;"361469259760672769";https://twitter.com/psuvfalcon/status/361469259760672769
DonPedroQuejon;2013-07-28 08:11;22;3;"Feliz cumpleaños @chavezcandanga seguiremos construyendo patria libre y soberana. #ChávezVive @ForoCandanga pic.twitter.com/dZe6mkLoIq";;@chavezcandanga @ForoCandanga;#Ch;"361466477741752320";https://twitter.com/DonPedroQuejon/status/361466477741752320
hpismael;2013-07-28 08:02;0;0;"Mi mejor honor es seguir tu ejemplo comandante Amigo. #ChávezVive";;;#Ch;"361464239103295489";https://twitter.com/hpismael/status/361464239103295489
tathianaga;2013-07-28 08:00;0;0;"Y YO A TI... " @semireeee : Amiga la sigo . @tathianaga #ChavezVive "";;@semireeee @tathianaga;#ChavezVive;"361463693810208768";https://twitter.com/tathianaga/status/361463693810208768
borgesclaudio;2013-07-28 08:00;1;0;"#EntreChavistasNosSeguimos RT #CHAVEZVIVE POR SIEMPRE Y PARA SIEMPRE EN NUESTROS CORAZONES . @FOROC_MON_ . @CHAVEZCANDANGA";;@FOROC_MON_ @CHAVEZCANDANGA;#EntreChavistasNosSeguimos #CHAVEZVIVE;"361463616676962306";https://twitter.com/borgesclaudio/status/361463616676962306
jggj71;2013-07-28 07:53;0;0;"Hasta siempre mi comandante eterno, tu ideal no debe morir si de verdad queremos esta patria,hasta la victoria siempre. #ChávezVive .";;;#Ch;"361461864456134656";https://twitter.com/jggj71/status/361461864456134656
